SMILES,logP,fold_0,fold_1,fold_2,fold_3,fold_4
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,val,train,train,train,train
O=C1Nc2cccc3cccc1c23,-3.2547670983,train,train,train,train,val
Clc1ccc(C=O)cc1,-2.1770779444,train,train,val,train,train
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954,val,train,train,train,train
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831,train,train,train,train,val
Cc1cccc(C=C)c1,-3.1231503041,train,train,train,train,val
CCC1CCC(CCC(O)=O)C1,-3.286116314,train,train,train,val,train
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,train,train,train,val,train
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652184700001,val,train,train,train,train
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999,train,train,train,train,val
CN(C)c1ccc(C=O)cc1,-2.2827688499,val,train,train,train,train
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,train,train,train,train,val
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957,val,train,train,train,train
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,train,train,train,train,val
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597008,val,train,train,train,train
CC(C)=CCC\C(C)=C/CO,-2.3206011661000003,train,train,val,train,train
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863,train,train,train,val,train
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003,val,train,train,train,train
FC(F)(F)c1cccc(Cl)c1,-3.4115138849,train,train,train,val,train
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,val,train,train,train,train
CC(C)CCCCCOC(=O)CCS,-4.4543816995,val,train,train,train,train
CC(C)=C1CCC(=CC1)C,-4.2873429345,train,train,train,train,val
[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,-3.4731390517,train,train,train,val,train
[Zn++].CC(=C)C([O-])=O,-2.3632080977000003,val,train,train,train,train
CCNCC(O)c1cccc(O)c1,-3.4541026398000003,train,train,train,val,train
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.9908768679000004,train,train,train,val,train
ClCc1ccc(Cl)cc1Cl,-3.5129421932,train,val,train,train,train
CC1(C)C2CCC(=C)C1C2,-4.2923134549,train,val,train,train,train
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.8091341894,train,train,val,train,train
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203,val,train,train,train,train
NO,-0.763033718,train,val,train,train,train
C=CC(=O)OCCOc1ccccc1,-2.5636257131,val,train,train,train,train
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003,train,train,train,val,train
OC(=O)CCCCCCCCC=C,-3.5528261452,val,train,train,train,train
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.0571851475,train,train,val,train,train
