SMILES,logP,fold_0,fold_1,fold_2,fold_3,fold_4
CCCCC,-3.18,train,train,val,train,train
C1CCCC1,-2.64,train,train,train,train,val
CCCCCC,-3.84,train,val,train,train,train
CCCC(C)C,-3.74,train,val,train,train,train
CCC(C)(C)C,-3.55,train,train,train,val,train
C1CCCCC1,-3.1,train,val,train,train,train
C1CCCC1C,-3.3,train,val,train,train,train
CCCCCCC,-4.53,train,train,val,train,train
C1CCCCC1C,-3.85,train,train,train,train,val
CCCCCCCC,-5.24,train,train,val,train,train
C1CCCCCC1,-3.52,val,train,train,train,train
C1CCCCCCC1,-4.15,train,train,train,val,train
CCC=CC,-2.54,train,val,train,train,train
C1CC=CC1,-2.1,train,train,train,train,val
CCCCC=C,-3.23,train,train,train,train,val
CC(C)CC=C,-3.24,train,train,train,val,train
CCCCC=CC,-3.82,train,train,train,train,val
C1CC=C(C)CC1,-3.27,train,train,train,val,train
CCCCCCC=C,-4.44,train,train,val,train,train
CCCCCCCC=C,-5.05,train,train,train,val,train
C=CCCC=C,-2.68,train,train,train,train,val
C=C(C)C=C,-2.03,train,train,train,train,val
C=CC=C,-1.87,train,train,train,val,train
C1C=CCC=C1,-1.97,val,train,train,train,train
C(=CCC(C(=C)C)C1)(C1)C,-4.0,train,train,val,train,train
CCCC#C,-1.64,train,val,train,train,train
CCCCC#C,-2.36,train,train,train,train,val
CCCCCC#C,-3.01,train,val,train,train,train
CCCCCCCC#C,-4.24,train,train,val,train,train
c1ccccc1,-1.64,val,train,train,train,train
c1ccccc1C,-2.21,train,val,train,train,train
c1cccc(C)c1C,-2.8,val,train,train,train,train
c1cc(C)ccc1C,-2.77,val,train,train,train,train
c1ccc(C)cc1C,-2.82,train,train,val,train,train
c1ccccc1CCC,-3.37,train,train,train,train,val
c1cc(C)cc(C)c1C,-3.31,train,train,train,val,train
c1ccc(C)c(C)c1C,-3.2,train,train,train,val,train
c1cccc(C)c1CC,-3.21,train,train,train,train,val
c1cc(C)ccc1CC,-3.11,train,train,train,val,train
c1ccccc1C(C)C,-3.27,train,val,train,train,train
c1ccccc1CCCC,-4.06,train,train,train,train,val
c1cc(CC)ccc1CC,-3.75,train,train,val,train,train
c1cc(C)ccc1C(C)C,-3.77,train,train,train,val,train
c1ccccc1C(C)(C)C,-3.66,val,train,train,train,train
c1ccccc1C(C)CC,-3.89,val,train,train,train,train
c1c(C)c(C)c(C)c(C)c1C,-4.0,train,val,train,train,train
c1ccccc1CCCCC,-4.64,train,train,train,val,train
c1ccccc1C(CC)(C)C,-4.15,train,val,train,train,train
c1ccccc1C=C,-2.82,val,train,train,train,train
c1ccccc1c2ccccc2,-4.31,val,train,train,train,train
c1ccccc1Cc2ccccc2,-4.17,train,train,train,val,train
c(c(c(c1ccc2)c2)ccc3)(c3)C1,-4.91,val,train,train,train,train
c1ccc2c3ccccc3Cc2c1C,-5.22,train,train,train,val,train
c1ccc2ccccc2c1,-3.6,train,train,train,train,val
Cc1ccc2ccccc2c1,-3.77,val,train,train,train,train
c1ccc2ccccc2c1C,-3.7,train,val,train,train,train
CCc1ccc2ccccc2c1,-4.29,val,train,train,train,train
c1ccc2c(C)cccc2c1C,-4.74,train,train,train,val,train
Cc1c(C)cc2ccccc2c1,-4.72,val,train,train,train,train
c1ccc2cccc3c2c1C=C3,-3.96,train,val,train,train,train
c1cc(C)c2ccccc2c1C,-4.14,train,train,val,train,train
Cc1ccc2cc(C)ccc2c1,-4.89,train,train,val,train,train
c1ccc2cccc3c2c1CC3,-4.63,train,train,val,train,train
c1cc(C)c2c(C)cccc2c1C,-4.92,val,train,train,train,train
c(c(c(c(c1)ccc2)c2)ccc3)(c1)c3,-5.26,train,train,train,train,val
c(c(c(c(c1ccc2)c2)C)ccc3)(c3)c1,-5.89,val,train,train,train,train
Cc1cc2cc3ccccc3cc2cc1,-6.96,train,val,train,train,train
c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34,-6.19,train,val,train,train,train
